agency,year,budget
Department of Housing and Urban Development,2019,50426000
Department of Housing and Urban Development,2020,51213000
National Aeronautics and Space Administration,1976,0
National Aeronautics and Space Administration,1977,3875593
National Aeronautics and Space Administration,1978,4243764
National Aeronautics and Space Administration,1979,4742545
National Aeronautics and Space Administration,1980,5349877
National Aeronautics and Space Administration,1981,5633566
National Aeronautics and Space Administration,1982,6199896
National Aeronautics and Space Administration,1983,7064766
National Aeronautics and Space Administration,1984,7457771
National Aeronautics and Space Administration,1985,7572630
National Aeronautics and Space Administration,1986,7807160
National Aeronautics and Space Administration,1987,10923058
National Aeronautics and Space Administration,1988,9061377
National Aeronautics and Space Administration,1989,10969447
National Aeronautics and Space Administration,1990,12323610
National Aeronautics and Space Administration,1991,14016001
National Aeronautics and Space Administration,1992,14317424
National Aeronautics and Space Administration,1993,14310250
National Aeronautics and Space Administration,1994,14569602
National Aeronautics and Space Administration,1995,13854000
National Aeronautics and Space Administration,1996,13886000
National Aeronautics and Space Administration,1997,13711000
National Aeronautics and Space Administration,1998,13637000
National Aeronautics and Space Administration,1999,13627000
National Aeronautics and Space Administration,2000,13588000
National Aeronautics and Space Administration,2001,14254000
National Aeronautics and Space Administration,2002,14868000
National Aeronautics and Space Administration,2003,15449000
National Aeronautics and Space Administration,2004,15342000
National Aeronautics and Space Administration,2005,16187000
National Aeronautics and Space Administration,2006,16570000
National Aeronautics and Space Administration,2007,16275000
National Aeronautics and Space Administration,2008,17209000
National Aeronautics and Space Administration,2009,18777000
National Aeronautics and Space Administration,2010,18719000
National Aeronautics and Space Administration,2011,18432000
National Aeronautics and Space Administration,2012,17773000
National Aeronautics and Space Administration,2013,16868000
National Aeronautics and Space Administration,2014,17644000
National Aeronautics and Space Administration,2015,17999000
National Aeronautics and Space Administration,2016,18514000
National Aeronautics and Space Administration,2017,18885000
National Aeronautics and Space Administration,2018,19262000
National Aeronautics and Space Administration,2019,19455000
National Aeronautics and Space Administration,2020,19649000
Office of Personnel Management,1976,-436
Office of Personnel Management,1977,10255046
Office of Personnel Management,1978,11630945
Office of Personnel Management,1979,13314322
Office of Personnel Management,1980,15710938
Office of Personnel Management,1981,18595339
Office of Personnel Management,1982,20810144
Office of Personnel Management,1983,22301693
Office of Personnel Management,1984,23530020
Office of Personnel Management,1985,24615958
Office of Personnel Management,1986,26293992
Office of Personnel Management,1987,27298886
Office of Personnel Management,1988,30164239
Office of Personnel Management,1989,32163314
Office of Personnel Management,1990,35224113
Office of Personnel Management,1991,36782230
Office of Personnel Management,1992,35764852
Office of Personnel Management,1993,39344972
Office of Personnel Management,1994,40379803
Office of Personnel Management,1995,42923000
Office of Personnel Management,1996,43814000
Office of Personnel Management,1997,44847000
Office of Personnel Management,1998,47352000
Office of Personnel Management,1999,48710000
Office of Personnel Management,2000,50463000
Office of Personnel Management,2001,53144000
Office of Personnel Management,2002,55306000
Office of Personnel Management,2003,57316000
Office of Personnel Management,2004,59932000
Office of Personnel Management,2005,63076000
Office of Personnel Management,2006,66756000
Office of Personnel Management,2007,61633000
Office of Personnel Management,2008,65951000
Office of Personnel Management,2009,74439000
Office of Personnel Management,2010,72434000
Office of Personnel Management,2011,79435000
Office of Personnel Management,2012,83630000
Office of Personnel Management,2013,86973000
Office of Personnel Management,2014,89745000
Office of Personnel Management,2015,96127000
Office of Personnel Management,2016,99348000
Office of Personnel Management,2017,98878000
Office of Personnel Management,2018,102577000
Office of Personnel Management,2019,106678000
Office of Personnel Management,2020,110774000
Small Business Administration,1976,0
Small Business Administration,1977,1068374
Small Business Administration,1978,3554624
Small Business Administration,1979,2081455
Small Business Administration,1980,2144955
Small Business Administration,1981,1355118
Small Business Administration,1982,747536
Small Business Administration,1983,1278219
Small Business Administration,1984,971226
Small Business Administration,1985,1253710
Small Business Administration,1986,714414
Small Business Administration,1987,603734
Small Business Administration,1988,417954
Small Business Administration,1989,420683
Small Business Administration,1990,928279
Small Business Administration,1991,463948
Small Business Administration,1992,1891028
Small Business Administration,1993,1176727
Small Business Administration,1994,2058307
Small Business Administration,1995,792000
Small Business Administration,1996,1089000
Small Business Administration,1997,838000
Small Business Administration,1998,243000
Small Business Administration,1999,342000
Small Business Administration,2000,100000
Small Business Administration,2001,-68000
Small Business Administration,2002,604000
Small Business Administration,2003,1625000
Small Business Administration,2004,4222000
Small Business Administration,2005,3345000
Small Business Administration,2006,1755000
Small Business Administration,2007,528000
Small Business Administration,2008,1317000
Small Business Administration,2009,2564000
Small Business Administration,2010,6472000
Small Business Administration,2011,5454000
Small Business Administration,2012,2724000
Small Business Administration,2013,952000
Small Business Administration,2014,139000
Small Business Administration,2015,-715000
Small Business Administration,2016,2121000
Small Business Administration,2017,717000
