agency,year,budget
Environmental Protection Agency,1984,4063560
Environmental Protection Agency,1985,4345729
Environmental Protection Agency,1986,3445897
Environmental Protection Agency,1987,5343548
Environmental Protection Agency,1988,4968429
Environmental Protection Agency,1989,5080864
Environmental Protection Agency,1990,5379521
Environmental Protection Agency,1991,6003868
Environmental Protection Agency,1992,6461181
Environmental Protection Agency,1993,6736776
Environmental Protection Agency,1994,6436211
Environmental Protection Agency,1995,5710000
Environmental Protection Agency,1996,6268000
Environmental Protection Agency,1997,6478000
Environmental Protection Agency,1998,7022000
Environmental Protection Agency,1999,7243000
Environmental Protection Agency,2000,7313000
Environmental Protection Agency,2001,7601000
Environmental Protection Agency,2002,7841000
Environmental Protection Agency,2003,7925000
Environmental Protection Agency,2004,8390000
Environmental Protection Agency,2005,7959000
Environmental Protection Agency,2006,7583000
Environmental Protection Agency,2007,7533000
Environmental Protection Agency,2008,7393000
Environmental Protection Agency,2009,14754000
Environmental Protection Agency,2010,10165000
Environmental Protection Agency,2011,8565000
Environmental Protection Agency,2012,10785000
Environmental Protection Agency,2013,8413000
Environmental Protection Agency,2014,9124000
Environmental Protection Agency,2015,8025000
Environmental Protection Agency,2016,12483000
Environmental Protection Agency,2017,8648000
Environmental Protection Agency,2018,8829000
Environmental Protection Agency,2019,8923000
Environmental Protection Agency,2020,9014000
Department of Transportation,1976,207
Department of Transportation,1977,8455776
Department of Transportation,1978,12611283
Department of Transportation,1979,16370489
Department of Transportation,1980,18245170
Department of Transportation,1981,23485924
Department of Transportation,1982,21214367
Department of Transportation,1983,23855248
Department of Transportation,1984,25821267
Department of Transportation,1985,26234094
Department of Transportation,1986,25774550
Department of Transportation,1987,23535334
Department of Transportation,1988,24638859
Department of Transportation,1989,25482502
Department of Transportation,1990,26970803
Department of Transportation,1991,27544852
Department of Transportation,1992,32760850
Department of Transportation,1993,36398667
Department of Transportation,1994,38661853
Department of Transportation,1995,34382000
Department of Transportation,1996,32012000
Department of Transportation,1997,36382000
Department of Transportation,1998,40412000
Department of Transportation,1999,46207000
Department of Transportation,2000,49965000
Department of Transportation,2001,61570000
Department of Transportation,2002,60336000
Department of Transportation,2003,54415000
Department of Transportation,2004,60854000
Department of Transportation,2005,64543000
Department of Transportation,2006,64444000
Department of Transportation,2007,65994000
Department of Transportation,2008,67974000
Department of Transportation,2009,112344000
Department of Transportation,2010,84342000
Department of Transportation,2011,70512000
Department of Transportation,2012,70114000
Department of Transportation,2013,82816000
Department of Transportation,2014,71311000
Department of Transportation,2015,72145000
Department of Transportation,2016,94505000
Department of Transportation,2017,95884000
Department of Transportation,2018,97060000
Department of Transportation,2019,98251000
Department of Transportation,2020,99887000
General Services Administration,1976,1099
General Services Administration,1977,312006
General Services Administration,1978,136998
General Services Administration,1979,333405
General Services Administration,1980,715922
General Services Administration,1981,1121454
General Services Administration,1982,623286
