word,date,matches,freq
himself,1784,687,5.13E-05
himself,1785,521,4.01E-05
himself,1786,104,8.28E-06
himself,1787,1324,5.64E-05
himself,1788,534,2.10E-05
himself,1789,267,1.32E-05
himself,1790,1118,4.83E-05
himself,1791,621,2.76E-05
himself,1792,579,2.37E-05
himself,1793,978,4.10E-05
himself,1794,2138,8.80E-05
himself,1795,2425,9.51E-05
himself,1796,2792,0.000103051
himself,1797,2921,0.000140737
himself,1798,2515,0.000117847
himself,1799,6975,0.000252456
himself,1800,13644,0.000312404
himself,1801,26225,0.000396226
himself,1802,19944,0.000404553
himself,1803,32170,0.000469416
himself,1804,57293,0.000673245
himself,1805,41703,0.000572379
himself,1806,54899,0.000602667
himself,1807,59024,0.000648629
himself,1808,73539,0.000683331
himself,1809,69701,0.000648143
himself,1810,84078,0.00073962
himself,1811,102316,0.000757268
himself,1812,97291,0.000753912
himself,1813,75559,0.00072455
himself,1814,85896,0.000706243
himself,1815,80529,0.000674905
himself,1816,106576,0.000777736
himself,1817,101976,0.000720322
himself,1818,97491,0.000660532
himself,1819,81877,0.000629089
himself,1820,137896,0.000774207
himself,1821,111443,0.000746068
himself,1822,159061,0.000722161
himself,1823,170440,0.000813799
himself,1824,191295,0.000756993
himself,1825,212200,0.000829112
himself,1826,165440,0.000805211
himself,1827,164290,0.000758522
himself,1828,157520,0.000699222
himself,1829,166870,0.000710693
himself,1830,231245,0.000768322
himself,1831,192110,0.00070277
himself,1832,191355,0.000725724
himself,1833,185292,0.000712152
himself,1834,192433,0.000708312
himself,1835,209081,0.000682063
himself,1836,236528,0.000740144
himself,1837,208647,0.000717896
himself,1838,209531,0.000686678
himself,1839,263408,0.000726234
himself,1840,259067,0.000719822
himself,1841,225336,0.000693271
himself,1842,197893,0.000656087
himself,1843,240497,0.000704186
himself,1844,285833,0.000729376
himself,1845,273608,0.000720193
himself,1846,285516,0.000703644
himself,1847,270379,0.000725685
himself,1848,282127,0.000689136
himself,1849,296437,0.000712614
himself,1850,296814,0.000698225
himself,1851,314198,0.000689862
himself,1852,318783,0.000652641
himself,1853,394579,0.000714109
himself,1854,414854,0.000702782
himself,1855,322326,0.000643639
himself,1856,375428,0.00068998
himself,1857,335061,0.000668382
himself,1858,304449,0.000653755
himself,1859,333662,0.000647911
himself,1860,330600,0.000627235
himself,1861,243810,0.000630922
himself,1862,223414,0.00062172
himself,1863,231534,0.000661648
himself,1864,260050,0.000616405
himself,1865,262263,0.000621479
himself,1866,279322,0.000609405
himself,1867,273841,0.000608208
himself,1868,280025,0.000616341
himself,1869,312171,0.000623811
himself,1870,268095,0.000593516
himself,1871,300596,0.000614905
himself,1872,300953,0.000598099
himself,1873,306922,0.000589931
himself,1874,343197,0.000596552
himself,1875,382839,0.000636744
himself,1876,346614,0.000575772
himself,1877,339832,0.000591935
himself,1878,305397,0.000566794
himself,1879,344257,0.000595986
himself,1880,418530,0.000611886
himself,1881,400354,0.000582113
himself,1882,433754,0.00059762
himself,1883,448101,0.000593035
himself,1884,416811,0.000562174
himself,1885,411471,0.000573015
himself,1886,391783,0.000556945
himself,1887,417400,0.000583492
himself,1888,428270,0.000575231
himself,1889,404128,0.000557176
himself,1890,415950,0.000582114
himself,1891,406243,0.000564445
himself,1892,414277,0.000573652
himself,1893,390560,0.00056533
himself,1894,409001,0.0005891
himself,1895,368963,0.000564224
himself,1896,386609,0.000574717
himself,1897,388194,0.000573947
himself,1898,377559,0.000556249
himself,1899,379450,0.000574165
himself,1900,386936,0.00058307
himself,1901,387858,0.000568826
himself,1902,376310,0.000564137
himself,1903,349098,0.000536159
himself,1904,354024,0.000532534
himself,1905,305848,0.000462543
himself,1906,335506,0.000512071
himself,1907,330611,0.000504307
himself,1908,312884,0.000483742
himself,1909,301765,0.000466891
himself,1910,310758,0.000478605
himself,1911,288074,0.000454363
himself,1912,278295,0.000450596
himself,1913,270143,0.000436953
himself,1914,267590,0.000450507
himself,1915,234940,0.000410471
himself,1916,217886,0.000389744
himself,1917,220714,0.000400139
himself,1918,206625,0.000387124
himself,1919,229328,0.000405563
himself,1920,241227,0.000405463
himself,1921,251679,0.000411379
himself,1922,240789,0.000396315
himself,1923,285476,0.00045896
himself,1924,272108,0.000448045
himself,1925,286546,0.000473565
himself,1926,281721,0.000473962
himself,1927,285761,0.000462091
himself,1928,277086,0.000468664
himself,1929,290437,0.000483912
himself,1930,290878,0.000478499
himself,1931,281157,0.000452014
himself,1932,304323,0.000482866
himself,1933,276386,0.00045941
himself,1934,276499,0.000455402
himself,1935,293602,0.000464019
himself,1936,273078,0.000441502
himself,1937,271568,0.00042667
himself,1938,258136,0.000402812
himself,1939,255251,0.000389726
himself,1940,235131,0.00036178
himself,1941,230988,0.000360929
himself,1942,238790,0.000368456
himself,1943,226992,0.000361485
himself,1944,222837,0.00036487
himself,1945,237290,0.00037834
himself,1946,264406,0.000421221
himself,1947,268805,0.0004115
himself,1948,261453,0.000397335
himself,1949,263159,0.000396717
himself,1950,261281,0.000394038
himself,1951,262511,0.00038322
himself,1952,279778,0.000393638
himself,1953,253373,0.000379241
himself,1954,249505,0.000369353
himself,1955,265152,0.000392547
himself,1956,275041,0.000400204
himself,1957,266085,0.000400402
himself,1958,257565,0.000380327
himself,1959,242093,0.000375506
himself,1960,251147,0.000377846
himself,1961,238430,0.000366677
himself,1962,259995,0.000385171
himself,1963,250110,0.000384546
himself,1964,230570,0.000358436
himself,1965,237829,0.000360316
himself,1966,235774,0.000361907
himself,1967,236174,0.000365054
himself,1968,247332,0.000383036
himself,1969,237138,0.000379178
himself,1970,235583,0.000369472
himself,1971,210644,0.000335672
himself,1972,203990,0.000329426
himself,1973,205906,0.000318254
himself,1974,193616,0.000305454
himself,1975,175243,0.000293023
himself,1976,185613,0.000290993
himself,1977,180436,0.000291053
himself,1978,174194,0.000279713
himself,1979,172023,0.000267379
himself,1980,179797,0.000270431
himself,1981,181667,0.000268808
himself,1982,177693,0.000267599
himself,1983,173047,0.000252247
himself,1984,168018,0.000246098
himself,1985,167894,0.000246873
himself,1986,167120,0.000239057
himself,1987,162104,0.000236175
himself,1988,165414,0.00023797
himself,1989,162419,0.000237839
himself,1990,155672,0.000229416
himself,1991,161834,0.000236316
himself,1992,161020,0.000226519
himself,1993,169161,0.000233664
himself,1994,156145,0.000222169
himself,1995,161744,0.000218887
himself,1996,169495,0.000223206
himself,1997,154750,0.000211441
himself,1998,156721,0.000212874
himself,1999,160315,0.000217438
himself,2000,164624,0.000224457
himself,2001,164785,0.000220185
himself,2002,157168,0.000222911
himself,2003,153429,0.000225236
himself,2004,176508,0.000261885
himself,2005,162874,0.000244291
himself,2006,185866,0.000270962
himself,2007,213272,0.000313561
himself,2008,239227,0.000426363
his,1701,6241,0.005009801
his,1702,5514,0.004857136
his,1703,12483,0.007156867
his,1704,4327,0.005895931
his,1705,7443,0.004569078
his,1706,8689,0.009622263
his,1707,4768,0.004595308
his,1708,5563,0.004558013
his,1709,1957,0.005918788
his,1710,11940,0.007223602
his,1711,13533,0.009177454
his,1712,2854,0.008384722
his,1713,4031,0.00470173
his,1714,12925,0.006921933
his,1715,5869,0.004850485
his,1716,4649,0.006001288
his,1717,6888,0.005636836
his,1718,7920,0.00519801
his,1719,8016,0.004180999
his,1720,13256,0.006567787
his,1721,8698,0.00542525
his,1722,8126,0.005495464
his,1723,12710,0.009162678
his,1724,14036,0.008019866
his,1725,12642,0.005943636
his,1726,18036,0.005256749
his,1727,25596,0.006033055
his,1728,27072,0.007550517
his,1729,26518,0.006472653
his,1730,21505,0.005510679
his,1731,28333,0.006463282
his,1732,21111,0.005563941
his,1733,10258,0.007405691
his,1734,15100,0.005181299
his,1735,18008,0.006145834
his,1736,12220,0.006482226
his,1737,17101,0.00649777
his,1738,24310,0.007443832
his,1739,54057,0.007323223
his,1740,24860,0.007315313
his,1741,16103,0.006291618
his,1742,17344,0.004430894
his,1743,30294,0.007259345
his,1744,28847,0.005837042
his,1745,15205,0.003580353
his,1746,13993,0.006316959
his,1747,124576,0.009609822
his,1748,21125,0.004734601
his,1749,30516,0.005085208
his,1750,58798,0.006964885
his,1751,41868,0.00638908
his,1752,36542,0.006745439
his,1753,64823,0.007518582
his,1754,63885,0.006991627
his,1755,64929,0.007294798
his,1756,20237,0.005847068
his,1757,53260,0.006531831
his,1758,63010,0.007811433
his,1759,79079,0.00764769
his,1760,52807,0.00724556
his,1761,36407,0.007348136
his,1762,26081,0.006984475
his,1763,36336,0.006978497
his,1764,40272,0.006747865
his,1765,27932,0.005604361
his,1766,67795,0.007159658
his,1767,61796,0.006816633
his,1768,79076,0.006540435
his,1769,75341,0.008596907
his,1770,91152,0.007722708
his,1771,70695,0.007289896
his,1772,58040,0.006118847
his,1773,68144,0.008045369
his,1774,59757,0.006373223
his,1775,58623,0.006329924
his,1776,54463,0.005096676
his,1777,89083,0.007261762
his,1778,53743,0.006855079
his,1779,74317,0.008003398
his,1780,60294,0.006423229
his,1781,77929,0.008313208
his,1782,73859,0.008346707
his,1783,72517,0.006693235
his,1784,83288,0.006215272
his,1785,78596,0.006053697
his,1786,80278,0.006394883
his,1787,187167,0.007973436
his,1788,178231,0.007014804
his,1789,160840,0.007973596
his,1790,162603,0.007018797
his,1791,165811,0.007368089
his,1792,156261,0.006383102
his,1793,151097,0.006334642
his,1794,138398,0.005695501
his,1795,179472,0.007037349
his,1796,165067,0.006092502
his,1797,147703,0.007116497
